"","Var1","Freq"
"522","광주광역시 남구 독립로79번길",1
"523","광주광역시 남구 독립로80번길",11
"524","광주광역시 남구 독립로99번길",1
"525","광주광역시 남구 방림로",17
"526","광주광역시 남구 백서로",32
"527","광주광역시 남구 백서로70번길",1
"528","광주광역시 남구 백양로",16
"529","광주광역시 남구 백양로39번길",2
"530","광주광역시 남구 백양로7번길",5
"531","광주광역시 남구 백운로",74
"532","광주광역시 남구 백운로34번길",1
"533","광주광역시 남구 백운로39번길",2
"534","광주광역시 남구 백운로44번길",1
"535","광주광역시 남구 백운로5번길",1
"536","광주광역시 남구 백운로75번가길",4
"537","광주광역시 남구 백운로75번길",2
"538","광주광역시 남구 백운로82번길",1
"539","광주광역시 남구 백운로99번길",3
"540","광주광역시 남구 봉선1로",57
"541","광주광역시 남구 봉선1로16번안길",3
"542","광주광역시 남구 봉선1로17번길",1
"543","광주광역시 남구 봉선1로25번길",1
"544","광주광역시 남구 봉선1로26번길",1
"545","광주광역시 남구 봉선1로36번길",2
"546","광주광역시 남구 봉선1로37번길",10
"547","광주광역시 남구 봉선1로47번길",16
"548","광주광역시 남구 봉선1로62번길",2
"549","광주광역시 남구 봉선1로62번안길",1
"550","광주광역시 남구 봉선1로73번길",5
"551","광주광역시 남구 봉선2로",79
"552","광주광역시 남구 봉선2로19번길",11
"553","광주광역시 남구 봉선로",109
"554","광주광역시 남구 봉선로121번길",2
"555","광주광역시 남구 봉선로122번길",2
"556","광주광역시 남구 봉선로133번길",10
"557","광주광역시 남구 봉선로144번길",1
"558","광주광역시 남구 봉선로175번길",6
"559","광주광역시 남구 봉선로186번길",2
"560","광주광역시 남구 봉선로19번길",18
"561","광주광역시 남구 봉선로25번길",4
"562","광주광역시 남구 봉선로51번길",4
"563","광주광역시 남구 봉선로79번길",9
"564","광주광역시 남구 봉선로84번길",2
"565","광주광역시 남구 봉선로9번길",13
"566","광주광역시 남구 봉선중길",2
"567","광주광역시 남구 봉선중앙로",118
"568","광주광역시 남구 봉선중앙로123번길",30
